fermi level
accelerate charge transfer
material design
bifeo3 composites
as well as
modified glassy carbon
for enhanced photocatalytic hydrogen evolution
promising metal free
low concentrations
evaluated under visible light irradiation
as one of
bcn tio2
designing highly efficient
n deficient
an effective way
good stability
mil 88a g c3n4
increased photocatalytic activity
significantly improving
co sensitized
prefer to
single crystal x ray
the enlarged specific surface
pcn nanosheets
exhibits higher
spectra showed
a wide ph range
post thermal
high performances
high apparent quantum yield
conducive to
shed light on
mesoporous alpha
5 wt
after four cycles
that of pristine
fe 2 o 3
chemical characteristics
3.2 ev
photocatalytic splitting of
nanoporous carbon
reduction of carbon dioxide
magnetic carbon nitride
p doped
paper reports
the as prepared
μmol h
the band structures of
pd mpg
exhibited remarkably enhanced
up converted
production from water
green and facile
samples exhibit
pd g c3n4 catalysts
unique surface
pure ceo2
first principles density functional theory
broad application
t cell
heterojunction structured
study revealed
visible light responsive photocatalytic
new light on
atom doping
metal free graphitic carbon nitride
the reduction in
this type of
well ordered
separation efficiency of photogenerated electron
experiments and theoretical
excellent visible light driven photocatalytic activity
selective and sensitive detection of
nad +
li s
novel ternary
corresponds to
a possible photocatalytic mechanism
organic materials
fenton like catalytic
conjugated carbon nitride
material for lithium ion batteries
higher photocatalytic activity than pure
fe3o4 tio2
the photostability of
followed by
superior photocatalytic efficiency
the matrix of
s doped
fe3o4 nanocomposites
nitrogen bonding
c = n
pd g c3n4 catalyst
detection of microrna
prepared material
mesoporous g c3n4 nanosheet
b doped
antifouling properties of
production and hosting by elsevier
optimal ratio
pristine zno
0.6 wt
ma cm 2
cu zno
degradation of organic dye
main active
higher hydrogen evolution rate
transfer route
to produce
pl studies
ag g c3n4
fe2o3 g c3n4
electron diffusion
generation of hydroxyl radicals
mixing calcination
exhibited great
adsorption site
hydrothermal methods
mass loading
approach to fabricate
ag particles
effective means
ultrathin two dimensional
separation mechanism
ag zno
dye solution
carbon based photocatalysts
beta ag2moo4 g c3n4
pollutants from wastewater
the components of
visible light absorption efficiency
the calcination of
composite photo catalyst
n terminal domain
nanosheet supported
consists of
surface groups
c3n4 nanocomposites
the changes of
cuo g c3n4
recombination of photoexcited
separation and transfer of charge carriers
removal ratio
provide new insight
reaction site
ag g c3n4 composite
efficient separation of photogenerated charge carriers
first order kinetic constant
the injection of
main reactive
nanoparticle modified
so as to
large scale production
major challenges
dft studies
the interactions of
a layer of
under am 1.5g
deposited by reactive
g c3n4 nanosheet
spectroscopy and transient
reduction rate
an ideal
500 ppm
for high performance lithium sulfur batteries
produce h2
promising strategies
direct pyrolysis
transfer mechanisms
with and without
ag3po4 g c3n4 nanocomposites
current study
more active sites
mesoporous structures
7 days
remarkably higher
facile pyrolysis
cl doped g c3n4
composite displays
functionalized carbon
optimal sample
depends on
techniques such as x ray diffraction
significantly enhanced photocatalytic performance
fenton catalyst
heterojunction hybrids
driven photocatalytic water splitting
oxo species
g c3n4 mno2 nanocomposite
2.6 ev
c3n4 photocatalyst
membrane fuel cell
analysis demonstrated
simple physical
ni + x
controlled experiments
the naked
valence band x ray photoelectron
excellent electronic
higher visible light absorption
exhibited excellent photocatalytic performance
h 2 evolution from water splitting
the presence or absence of
the combined effect
under irradiation with
the durability of
nickel based
one step thermal polymerization method
separation process
an alkaline medium
stronger optical
noble metal free co catalyst
effect of metallic ag
scheme heterojunction
the shape of
average particle size
water splitting photocatalysts
negative surface
exhibited excellent performance
complete primary structure
facilitate charge separation
fast transfer
2d 0d
s kb
catalytic degradation
implantation into
measurements demonstrated
the first time
spectrum driven
at 1 c
n terminal amino acid sequence
direct z scheme photocatalysts
highly efficient photocatalyst
successfully synthesized via
any noble metal
simple mixing
in response to
a facile
highest apparent
magnetic materials
under optimum conditions
activity and excellent
anchored onto
co catalysts
assisted solvothermal
the source of
considered as one of
zno heterojunction
fe2o3 g c3n4 composite
z scheme charge carrier transfer
photocatalyst comprises e.g
enhanced photocurrent
2 propanol
deposited onto
the migration of photogenerated
enhanced photocatalytic water splitting
separation and migration of photogenerated
catalytic materials
caused by
these results suggest
still lacking
at ph 5.0
successfully anchored
exhibited strong
calcination and hydrothermal
structure and photocatalytic performance
solar driven photocatalytic performance
ultraviolet and visible
the calculation of
possible catalytic mechanism
optimal conditions
accounts for
tio2 nanowire
production of hydrogen
composition and morphology
deposition of carbon nitride films
synthesis and characterization of
synthesized and used
photocatalytic decomposition of water
water splitting reaction
highest hydrogen evolution rate
the intercalation of
enhancement of visible light photocatalytic activity
closely related to
efficient catalysts
cn nss
t gcn
thermal decomposition of ammonium
generation of reactive oxygen species
energy and environmental applications
ag agcl @
mg g
time resolved transient
structure and excellent
separation capability
ceo2 g c3n4 composite
1000 ma
prepared and applied
pg ml 1
preparation and characterization of
best performing
efficient adsorption
separation and utilization
tio2 pvdf
15 wt
cystine residues
15 kda
efficient photo
2016 elsevier
used to detect
porous graphitic c3n4
c3n4 wo3 composite
to generate
50 ppm
direct thermal
heterogeneous catalytic
self supported
assisted microwave
simple thermal polymerization
effective charge
400 nm
ag pcn
heterostructure exhibits
synergistic photocatalytic
c3n4 tio2 ag
in accord
h 2 and o 2
alpha 1
the strategy of
s carboxymethylated
time consuming
tio2 particles
organic framework derived
the emission of
to develop
a reduction in
stability and reproducibility
boron doped g c3n4
photocatalytic experiments showed
intercalation compound
improved surface area
greater than or equal to
efficient method to
co doped
adsorption and degradation
to current conversion
degrees c for 2 h
noble metal based
complete sequence
contributes to
acid and melamine
2d 2d heterostructure
against escherichia coli
obtained products
lifetime of photogenerated
of mpg c3n4 and
the edges of
nitrogen self doped
visible light photocatalytic hydrogen production
enhanced chemical vapor deposition
range of 0.02
the catalysis of
the transfer rate of
metal free bifunctional
c terminal region
photocatalytic nox
successfully applied to
does not require
significantly improved photocatalytic performance
one pot hydrothermal method
ftir analysis
nitrogen ions
separation of photoexcited charge
fitted well
type ii band
phosphatase activity
spatial charge
w18o49 g c3n4
bifunctional electrocatalyst for
highest h 2 production rate
exfoliated g c3n4
acid and urea
anion radicals
light excited
coo g c3n4
wo3 tio2
data showed
in terms of
nanocomposite showed
150 min
peptide sequence
hybrid exhibited
hollow tubular g c3n4
to form
two dimensional materials
under visible light radiation
efficient visible light
graphene like
based catalyst
degradation and hydrogen
the presence and absence of
method for synthesizing
highly efficient hydrogen evolution
z type
separation of photogenerated carriers
oxidation peak
the fast recombination of photogenerated
separation and transfer of photogenerated electrons
25 wt
50 ng ml
difference between
two step hydrothermal
mos2 g c3n4
bcn nanosheets
employed to prepare
removal of cr
to achieve
pt tio2
an efficient visible light driven photocatalyst
adsorption of co2
graphene and graphene like
separation and transfer of photo generated
mos2 nanocomposite
images showed
good selectivity
simple synthesis
solar light illumination
g c3n4 bi4o5i2
possible degradation mechanism
carriers in g c3n4
